term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
extremity,-0.0011357088335591252,0.011635441636317839,4.066637855893715e-06,-0.04045486878226864,-0.012725415423623418,-0.013017809912689091,-0.011974328951560205,-0.0043336300565031535,0.010342350901784404,-0.002859150682912211
woeful,0.019418228968371337,0.01834244524797579,0.062332494952850315,-0.008491163347966568,-0.0010389244659838592,-0.0029329853180338067,-0.014726101715024725,0.0013127236905647321,0.007729523300402094,0.020767032266209302
profession,0.0046580390894887524,-0.02881967351511383,0.0015496662177467578,0.005795514636274479,-0.004063747034076359,0.0029230836980133346,-0.005591367400328354,-0.02985703633093123,0.014562928138009659,0.012043629928697279
ambassador,0.0018058709247779081,0.00790697260380574,-0.021213714362991475,0.01675410494433599,0.08076898912398887,-0.0757023407912493,0.001099190604142583,-0.04162244738799916,-0.0759012511991545,-0.09178852009772638
invention,0.0017042583708828385,-0.022012594192755253,-0.0031302934065176404,0.010404185166191016,0.014630254425511883,-0.01450344099445855,-0.0057152016777757275,-0.0009866169313539168,-0.03629178056765437,-0.02968990394791414
funeral,-0.0027348008482895314,0.008163721085931663,0.0008201211512803138,-0.006174881867715143,0.028695826910518765,-0.044637576026125336,-0.010623563262098245,0.012250826971025437,0.037944167967361817,0.07287843577246984
proportion,0.0051756012438270126,0.011412326108535834,0.0037517690680357266,0.007334881229324686,0.0002493954449718106,-0.004770742618262713,-0.004866570456762448,0.0020518660067545547,-0.004668552930038483,0.037711490599967826
champion,0.006479311158741244,0.0009983138894800701,-0.006291635699980692,0.005672867109761198,0.017691503514609852,-0.018332972022978122,-0.005092547287669169,0.008836646462985709,-0.018036877173348037,0.0131310515768739
prosperous,-0.005916133057087332,0.003375631606689138,0.0003524940020416135,0.008696588567545238,-0.014310184497311695,-0.0011186395298612428,-0.022513320239681334,-0.005186145264825182,-0.015190202629479288,0.013522788538804335
prov,-0.01251386567376661,-0.00650963097738578,-0.00812523055058708,0.013132439811463226,0.018340458366393975,-0.005343524509732189,-0.00482001260982589,-0.02406419330273922,0.009281672831109367,0.027835882356854302
abus,0.004001187880805053,-0.013345440113881718,0.003126731824552649,-0.0038495702565201073,0.019438844169391567,0.0010594686601245185,-0.004032124371647738,-0.00208380257497294,0.009383413005556424,0.007666065179601004
bride,0.014415188576312937,0.009762534112391554,0.04365678686896256,0.010702063756659497,0.03026448244549046,-0.03767113551689183,0.0060708075598320255,-0.002124576099001272,-0.05319855262141485,-0.07671867647946759
circle,0.013603451920515966,0.006070626837629527,0.0001279977103412766,0.006909078856944199,0.020488236674688298,-0.010041877179630176,-0.009776309387180188,0.00037270128402611125,-0.012693418956584879,0.01748317751435049
undergo,-0.010089452881787583,0.011539225301153061,-0.014947610009170664,0.010348915459545012,0.019270379992277098,0.007006495711177244,-0.00928414899280508,0.017821574383618085,0.006724341797033791,0.018348287036730502
