term_str,n,p,i,n_chars,max_pos,n_pos,stem_porter,stem_snowball,stem_lancaster,stop,df,idf,dfidf,tfidf_mean,tfidf_sum,tfidf_median,tfidf_max,pos_group,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,polarity
church,31,6.997537318317973e-05,13.802793198632376,6,NN,3,church,church,church,0,8,1.1699250014423124,9.359400011538499,2.0148708358173155,36.26767504471168,0.0,11.699250014423123,NN,0,1,0,0,1,0,1,0,0,1,1
abuse,31,6.997537318317973e-05,13.802793198632376,5,NN,4,abus,abus,abus,0,13,0.4694852833012202,6.103308682915863,0.8085579879076569,14.554043782337823,0.4694852833012202,4.225367549710982,NN,1,0,1,1,0,1,0,1,0,0,-1
prick,31,6.997537318317973e-05,13.802793198632376,5,NNP,7,prick,prick,prick,0,13,0.4694852833012202,6.103308682915863,0.808557987907657,14.554043782337825,0.4694852833012202,3.7558822664097615,NN,1,0,1,1,0,1,0,0,1,0,-1
angel,31,6.997537318317973e-05,13.802793198632376,5,NN,5,angel,angel,angel,0,15,0.2630344058337938,3.9455160875069066,0.45300369893597825,8.154066580847608,0.3945516087506907,1.0521376233351751,NN,0,1,0,0,1,0,1,0,1,1,1
weary,31,6.997537318317973e-05,13.802793198632376,5,JJ,4,weari,weari,weary,0,14,0.36257007938470837,5.075981111385917,0.62442624782922,11.23967246092596,0.7251401587694167,2.17542047630825,JJ,0,0,0,0,0,1,0,1,0,0,-1
success,31,6.997537318317973e-05,13.802793198632376,7,NN,2,success,success,success,0,11,0.7104933828050152,7.815427210855167,1.2236274926086375,22.025294866955473,0.7104933828050152,3.552466914025076,NN,0,1,0,0,1,0,1,0,0,0,1
offend,31,6.997537318317973e-05,13.802793198632376,6,VB,4,offend,offend,offend,0,15,0.2630344058337938,3.9455160875069066,0.45300369893597814,8.154066580847607,0.5260688116675876,1.0521376233351751,VB,1,0,1,0,0,1,0,0,0,0,-1
tyrant,31,6.997537318317973e-05,13.802793198632376,6,NN,3,tyrant,tyrant,tyr,0,11,0.7104933828050152,7.815427210855167,1.2236274926086375,22.025294866955473,0.7104933828050152,9.946907359270213,NN,1,0,1,1,0,1,0,1,0,0,-1
smile,31,6.997537318317973e-05,13.802793198632376,5,VB,7,smile,smile,smil,0,14,0.36257007938470837,5.075981111385917,0.62442624782922,11.23967246092596,0.36257007938470837,1.8128503969235419,VB,0,0,0,0,1,0,1,0,1,1,1
banished,31,6.997537318317973e-05,13.802793198632376,8,VBN,3,banish,banish,ban,0,5,1.84799690655495,9.23998453277475,3.1826613390668586,57.28790410320345,0.0,36.959938131099,VB,1,0,0,1,0,1,0,1,0,0,-1
ambition,30,6.771810308049651e-05,13.850098913410731,8,NN,1,ambit,ambit,ambit,0,12,0.5849625007211562,7.019550008653875,0.974937501201927,17.548875021634686,0.5849625007211562,3.5097750043269373,NN,0,1,0,0,1,0,1,0,0,1,1
wrath,30,6.771810308049651e-05,13.850098913410731,5,NN,2,wrath,wrath,wra,0,14,0.36257007938470837,5.075981111385917,0.6042834656411806,10.87710238154125,0.36257007938470837,1.8128503969235419,NN,1,0,0,1,0,1,0,0,0,0,-1
affection,30,6.771810308049651e-05,13.850098913410731,9,NN,2,affect,affect,affect,0,14,0.36257007938470837,5.075981111385917,0.6042834656411806,10.87710238154125,0.36257007938470837,1.8128503969235419,NN,0,0,0,0,1,0,1,0,0,1,1
drown,30,6.771810308049651e-05,13.850098913410731,5,VB,7,drown,drown,drown,0,12,0.5849625007211562,7.019550008653875,0.974937501201927,17.548875021634686,0.5849625007211562,5.849625007211562,VB,0,0,0,1,0,1,0,1,0,0,-1
iron,30,6.771810308049651e-05,13.850098913410731,4,NN,3,iron,iron,iron,0,12,0.5849625007211562,7.019550008653875,0.974937501201927,17.548875021634686,0.5849625007211562,5.849625007211562,NN,0,0,0,0,0,0,1,0,0,1,1
prepare,30,6.771810308049651e-05,13.850098913410731,7,NN,5,prepar,prepar,prep,0,10,0.8479969065549501,8.4799690655495,1.4133281775915836,25.439907196648505,0.8479969065549501,5.93597834588465,NN,0,1,0,0,0,0,1,0,0,0,1
satisfied,30,6.771810308049651e-05,13.850098913410731,9,VBN,3,satisfi,satisfi,satisfy,0,10,0.8479969065549501,8.4799690655495,1.4133281775915831,25.439907196648498,0.8479969065549501,5.087981439329701,VB,0,0,0,0,1,0,1,0,0,0,1
leisure,30,6.771810308049651e-05,13.850098913410731,7,NN,2,leisur,leisur,leis,0,13,0.4694852833012202,6.103308682915863,0.7824754721687005,14.084558499036609,0.9389705666024404,1.8779411332048808,NN,0,1,0,0,1,0,1,0,1,1,1
wealth,29,6.54608329778133e-05,13.899008513891678,6,NN,2,wealth,wealth,weal,0,13,0.4694852833012202,6.103308682915863,0.7563929564297436,13.615073215735384,0.4694852833012202,3.286396983108541,NN,0,0,0,0,1,0,1,0,0,1,1
credit,29,6.54608329778133e-05,13.899008513891678,6,NN,1,credit,credit,credit,0,13,0.4694852833012202,6.103308682915863,0.7563929564297437,13.615073215735386,0.4694852833012202,2.816911699807321,NN,0,0,0,0,0,0,1,0,0,1,1
deal,29,6.54608329778133e-05,13.899008513891678,4,NN,4,deal,deal,deal,0,13,0.4694852833012202,6.103308682915863,0.7563929564297436,13.615073215735384,0.4694852833012202,2.347426416506101,NN,0,1,0,0,1,0,1,0,1,1,1
enjoy,29,6.54608329778133e-05,13.899008513891678,5,VB,8,enjoy,enjoy,enjoy,0,12,0.5849625007211562,7.019550008653875,0.9424395844951962,16.96391252091353,0.5849625007211562,2.924812503605781,VB,0,1,0,0,1,0,1,0,0,1,1
dagger,29,6.54608329778133e-05,13.899008513891678,6,NN,1,dagger,dagger,dag,0,13,0.4694852833012202,6.103308682915863,0.7563929564297437,13.615073215735386,0.4694852833012202,3.286396983108541,NN,0,0,0,1,0,1,0,0,0,0,-1
triumph,29,6.54608329778133e-05,13.899008513891678,7,NN,3,triumph,triumph,triumph,0,10,0.8479969065549501,8.4799690655495,1.366217238338531,24.59191029009356,0.8479969065549501,5.087981439329701,NN,0,1,0,0,1,0,1,0,0,0,1
humble,29,6.54608329778133e-05,13.899008513891678,6,JJ,2,humbl,humbl,humbl,0,11,0.7104933828050152,7.815427210855167,1.14468378340808,20.604308101345442,0.7104933828050152,4.262960296830091,JJ,0,0,1,0,0,1,1,1,0,0,0
guilty,29,6.54608329778133e-05,13.899008513891678,6,JJ,1,guilti,guilti,guil,0,13,0.4694852833012202,6.103308682915863,0.7563929564297437,13.615073215735386,0.4694852833012202,2.816911699807321,JJ,1,0,0,0,0,1,0,1,0,0,-1
blessing,28,6.320356287513008e-05,13.949634586961647,8,NN,3,bless,bless,bless,0,11,0.7104933828050152,7.815427210855167,1.1052119288078013,19.893814718540423,0.7104933828050152,3.552466914025076,NN,0,1,0,0,1,0,1,0,0,1,1
hit,28,6.320356287513008e-05,13.949634586961647,3,VBD,6,hit,hit,hit,0,12,0.5849625007211562,7.019550008653875,0.9099416677884652,16.378950020192374,0.5849625007211562,4.094737505048093,VB,1,0,0,0,0,1,0,0,0,0,-1
evil,28,6.320356287513008e-05,13.949634586961647,4,JJ,3,evil,evil,evil,0,11,0.7104933828050152,7.815427210855167,1.1052119288078015,19.893814718540426,1.4209867656100303,2.8419735312200607,JJ,1,0,1,1,0,1,0,1,0,0,-1
authority,28,6.320356287513008e-05,13.949634586961647,9,NN,2,author,author,auth,0,10,0.8479969065549501,8.4799690655495,1.3191062990854783,23.743913383538608,0.8479969065549501,4.23998453277475,NN,0,0,0,0,0,0,1,0,0,1,1
amen,27,6.094629277244686e-05,14.002102006855782,4,NNS,2,amen,amen,am,0,10,0.8479969065549501,8.4799690655495,1.2719953598324254,22.895916476983658,0.8479969065549501,4.23998453277475,NN,0,0,0,0,1,0,1,0,0,1,1
sickness,27,6.094629277244686e-05,14.002102006855782,8,NN,2,sick,sick,sick,0,13,0.4694852833012202,6.103308682915863,0.7042279249518304,12.676102649132947,0.9389705666024404,1.8779411332048808,NN,0,0,1,1,0,1,0,1,0,0,-1
victory,27,6.094629277244686e-05,14.002102006855782,7,NN,2,victori,victori,vict,0,11,0.7104933828050152,7.815427210855167,1.0657400742075227,19.18332133573541,0.7104933828050152,6.394440445245136,NN,0,1,0,0,1,0,1,0,0,1,1
possess,27,6.094629277244686e-05,14.002102006855782,7,JJ,6,possess,possess,possess,0,12,0.5849625007211562,7.019550008653875,0.8774437510817342,15.793987519471216,0.5849625007211562,2.924812503605781,JJ,0,1,0,0,1,0,1,0,0,1,1
food,27,6.094629277244686e-05,14.002102006855782,4,NN,1,food,food,food,0,12,0.5849625007211562,7.019550008653875,0.8774437510817343,15.793987519471218,0.8774437510817343,3.5097750043269373,NN,0,0,0,0,1,0,1,0,0,1,1
weigh,27,6.094629277244686e-05,14.002102006855782,5,JJ,6,weigh,weigh,weigh,0,12,0.5849625007211562,7.019550008653875,0.8774437510817342,15.793987519471216,0.5849625007211562,2.924812503605781,JJ,0,1,0,0,0,0,0,0,0,1,0
fatal,27,6.094629277244686e-05,14.002102006855782,5,JJ,3,fatal,fatal,fat,0,10,0.8479969065549501,8.4799690655495,1.2719953598324252,22.895916476983654,0.8479969065549501,5.93597834588465,JJ,1,0,0,1,0,1,0,1,0,0,-1
freely,27,6.094629277244686e-05,14.002102006855782,6,RB,1,freeli,freeli,fre,0,11,0.7104933828050152,7.815427210855167,1.0657400742075227,19.18332133573541,0.7104933828050152,3.552466914025076,RB,0,0,0,0,1,0,1,0,0,1,1
obedience,27,6.094629277244686e-05,14.002102006855782,9,NN,3,obedi,obedi,obedy,0,11,0.7104933828050152,7.815427210855167,1.0657400742075227,19.18332133573541,0.7104933828050152,3.552466914025076,NN,0,0,0,0,0,0,1,0,0,1,1
displeasure,26,5.868902266976364e-05,14.056549790878158,11,NN,1,displeasur,displeasur,displeas,0,10,0.8479969065549501,8.4799690655495,1.2248844205793725,22.047919570428704,0.8479969065549501,5.93597834588465,NN,0,0,1,0,0,1,0,0,0,0,-1
dying,26,5.868902266976364e-05,14.056549790878158,5,VBG,4,die,die,dying,0,11,0.7104933828050152,7.815427210855167,1.0262682196072441,18.472827952930395,0.7104933828050152,4.9734536796351065,VB,1,0,1,1,0,1,0,1,0,0,-1
revolt,26,5.868902266976364e-05,14.056549790878158,6,NN,3,revolt,revolt,revolt,0,13,0.4694852833012202,6.103308682915863,0.6781454092128736,12.206617365831725,0.4694852833012202,3.286396983108541,NN,1,0,0,0,0,1,0,0,1,0,-1
stain,26,5.868902266976364e-05,14.056549790878158,5,NN,5,stain,stain,stain,0,14,0.36257007938470837,5.075981111385917,0.5237123368890232,9.426822064002417,0.36257007938470837,1.8128503969235419,NN,0,0,1,0,0,1,0,0,0,0,-1
doom,26,5.868902266976364e-05,14.056549790878158,4,NN,4,doom,doom,doom,0,11,0.7104933828050152,7.815427210855167,1.0262682196072441,18.472827952930395,0.7104933828050152,4.262960296830091,NN,0,0,0,1,0,1,0,0,0,0,-1
slaughter,26,5.868902266976364e-05,14.056549790878158,9,NN,6,slaughter,slaughter,slaught,0,11,0.7104933828050152,7.815427210855167,1.0262682196072441,18.472827952930395,0.7104933828050152,2.8419735312200607,NN,1,0,1,1,0,1,0,1,1,0,-1
feeble,26,5.868902266976364e-05,14.056549790878158,6,JJ,3,feebl,feebl,feebl,0,5,1.84799690655495,9.23998453277475,2.6693288650238167,48.047919570428704,0.0,29.5679505048792,JJ,0,0,0,0,0,1,0,1,0,0,-1
beggar,26,5.868902266976364e-05,14.056549790878158,6,NN,3,beggar,beggar,begg,0,12,0.5849625007211562,7.019550008653875,0.8449458343750034,15.20902501875006,0.5849625007211562,2.3398500028846247,NN,0,0,0,0,0,1,0,1,0,0,-1
smell,26,5.868902266976364e-05,14.056549790878158,5,VBP,3,smell,smell,smel,0,13,0.4694852833012202,6.103308682915863,0.6781454092128736,12.206617365831725,0.4694852833012202,2.816911699807321,VB,1,0,1,0,0,1,0,0,0,0,-1
serpent,26,5.868902266976364e-05,14.056549790878158,7,NN,2,serpent,serpent,serp,0,13,0.4694852833012202,6.103308682915863,0.6781454092128736,12.206617365831724,0.4694852833012202,2.347426416506101,NN,0,0,1,1,0,1,0,0,0,0,-1
peril,26,5.868902266976364e-05,14.056549790878158,5,NN,3,peril,peril,peril,0,13,0.4694852833012202,6.103308682915863,0.6781454092128735,12.206617365831722,0.4694852833012202,1.8779411332048808,NN,0,1,0,1,0,1,0,1,0,0,-1
rule,26,5.868902266976364e-05,14.056549790878158,4,NN,3,rule,rule,rul,0,14,0.36257007938470837,5.075981111385917,0.5237123368890232,9.426822064002417,0.36257007938470837,1.8128503969235419,NN,0,0,0,1,0,0,0,0,0,1,0
gift,26,5.868902266976364e-05,14.056549790878158,4,NN,1,gift,gift,gift,0,11,0.7104933828050152,7.815427210855167,1.0262682196072443,18.4728279529304,0.7104933828050152,3.552466914025076,NN,0,1,0,0,1,0,1,0,1,0,1
armed,25,5.6431752567080426e-05,14.113133319244525,5,VBD,4,arm,arm,arm,0,12,0.5849625007211562,7.019550008653875,0.8124479176682724,14.624062518028904,0.5849625007211562,1.7548875021634687,VB,1,0,0,1,0,1,1,0,0,0,0
lust,25,5.6431752567080426e-05,14.113133319244525,4,NN,4,lust,lust,lust,0,9,1.0,9.0,1.3888888888888888,25.0,0.5,6.0,NN,0,1,0,0,0,1,0,0,0,0,-1
denied,25,5.6431752567080426e-05,14.113133319244525,6,VBD,4,deni,deni,deny,0,13,0.4694852833012202,6.103308682915863,0.6520628934739169,11.737132082530504,0.4694852833012202,1.8779411332048808,VB,0,0,0,0,0,1,0,1,0,0,-1
unknown,25,5.6431752567080426e-05,14.113133319244525,7,JJ,4,unknown,unknown,unknown,0,14,0.36257007938470837,5.075981111385917,0.5035695547009839,9.064251984617709,0.36257007938470837,1.8128503969235419,JJ,0,1,0,1,0,1,0,0,0,0,-1
offended,25,5.6431752567080426e-05,14.113133319244525,8,VBD,2,offend,offend,offend,0,14,0.36257007938470837,5.075981111385917,0.5035695547009839,9.064251984617709,0.36257007938470837,1.8128503969235419,VB,1,0,0,0,0,1,0,1,0,0,-1
hazard,25,5.6431752567080426e-05,14.113133319244525,6,NN,4,hazard,hazard,hazard,0,11,0.7104933828050152,7.815427210855167,0.9867963650069657,17.762334570125383,0.7104933828050152,7.815427210855167,NN,0,0,0,1,0,1,0,0,0,0,-1
defend,25,5.6431752567080426e-05,14.113133319244525,6,VB,3,defend,defend,defend,0,10,0.8479969065549501,8.4799690655495,1.1777734813263199,21.199922663873757,0.8479969065549501,4.23998453277475,VB,0,0,0,1,0,0,1,0,0,0,1
delight,25,5.6431752567080426e-05,14.113133319244525,7,NN,5,delight,delight,delight,0,12,0.5849625007211562,7.019550008653875,0.8124479176682724,14.624062518028904,0.5849625007211562,2.3398500028846247,NN,0,1,0,0,1,0,1,0,0,0,1
whore,25,5.6431752567080426e-05,14.113133319244525,5,NN,2,whore,whore,whor,0,8,1.1699250014423124,9.359400011538499,1.624895835336545,29.24812503605781,0.0,14.03910001730775,NN,0,0,1,0,0,1,0,0,0,0,-1
anger,25,5.6431752567080426e-05,14.113133319244525,5,NN,7,anger,anger,ang,0,14,0.36257007938470837,5.075981111385917,0.5035695547009839,9.064251984617709,0.36257007938470837,1.8128503969235419,NN,1,0,0,0,0,1,0,0,0,0,-1
grieve,24,5.417448246439721e-05,14.172027008298095,6,VB,6,griev,griev,griev,0,12,0.5849625007211562,7.019550008653875,0.7799500009615415,14.039100017307748,0.5849625007211562,2.924812503605781,VB,0,0,0,1,0,1,0,1,0,0,-1
lover,24,5.417448246439721e-05,14.172027008298095,5,NN,2,lover,lover,lov,0,9,1.0,9.0,1.3333333333333333,24.0,0.5,10.0,NN,0,1,0,0,1,0,1,0,0,1,1
strife,24,5.417448246439721e-05,14.172027008298095,6,NN,2,strife,strife,strife,0,14,0.36257007938470837,5.075981111385917,0.48342677251294447,8.701681905233,0.36257007938470837,2.5379905556929585,NN,1,0,0,0,0,1,0,0,0,0,-1
darkness,24,5.417448246439721e-05,14.172027008298095,8,NN,4,dark,dark,dark,0,13,0.4694852833012202,6.103308682915863,0.6259803777349603,11.267646799229285,0.4694852833012202,2.816911699807321,NN,1,0,0,1,0,1,0,1,0,0,-1
afraid,24,5.417448246439721e-05,14.172027008298095,6,JJ,5,afraid,afraid,afraid,0,13,0.4694852833012202,6.103308682915863,0.6259803777349604,11.267646799229286,0.4694852833012202,2.347426416506101,JJ,0,0,0,1,0,1,0,0,0,0,-1
wait,24,5.417448246439721e-05,14.172027008298095,4,VBP,4,wait,wait,wait,0,13,0.4694852833012202,6.103308682915863,0.6259803777349602,11.267646799229283,0.4694852833012202,1.8779411332048808,VB,0,1,0,0,0,1,0,0,0,0,-1
merit,24,5.417448246439721e-05,14.172027008298095,5,NN,2,merit,merit,merit,0,13,0.4694852833012202,6.103308682915863,0.6259803777349603,11.267646799229285,0.4694852833012202,1.4084558499036606,NN,0,0,0,0,0,0,1,0,0,1,1
stranger,24,5.417448246439721e-05,14.172027008298095,8,NN,2,stranger,stranger,stranger,0,10,0.8479969065549501,8.4799690655495,1.130662542073267,20.351925757318806,0.8479969065549501,6.783975252439601,NN,0,0,0,1,0,1,0,0,0,0,-1
despair,24,5.417448246439721e-05,14.172027008298095,7,NN,3,despair,despair,despair,0,13,0.4694852833012202,6.103308682915863,0.6259803777349604,11.267646799229286,0.4694852833012202,1.8779411332048808,NN,1,0,1,1,0,1,0,1,0,0,-1
tempest,24,5.417448246439721e-05,14.172027008298095,7,NN,2,tempest,tempest,tempest,0,10,0.8479969065549501,8.4799690655495,1.130662542073267,20.351925757318806,0.8479969065549501,4.23998453277475,NN,1,1,0,1,0,1,0,1,1,0,-1
unnatural,24,5.417448246439721e-05,14.172027008298095,9,JJ,2,unnatur,unnatur,un,0,9,1.0,9.0,1.3333333333333333,24.0,0.5,7.0,JJ,0,0,1,1,0,1,0,0,0,0,-1
happiness,24,5.417448246439721e-05,14.172027008298095,9,NN,4,happi,happi,happy,0,12,0.5849625007211562,7.019550008653875,0.7799500009615415,14.039100017307748,0.5849625007211562,2.924812503605781,NN,0,1,0,0,1,0,1,0,0,0,1
physician,24,5.417448246439721e-05,14.172027008298095,9,NN,3,physician,physician,phys,0,7,1.3625700793847084,9.537990555692959,1.8167601058462783,32.70168190523301,0.0,17.71341103200121,NN,0,0,0,0,0,0,1,0,0,1,1
remedy,24,5.417448246439721e-05,14.172027008298095,6,NN,3,remedi,remedi,remedy,0,12,0.5849625007211562,7.019550008653875,0.7799500009615415,14.039100017307748,0.5849625007211562,2.3398500028846247,NN,0,1,0,0,1,0,1,0,0,1,1
jealous,24,5.417448246439721e-05,14.172027008298095,7,JJ,2,jealou,jealous,jeal,0,7,1.3625700793847084,9.537990555692959,1.816760105846278,32.701681905233,0.0,17.71341103200121,JJ,1,0,1,0,0,1,0,0,0,0,-1
govern,23,5.191721236171399e-05,14.233427552962237,6,VB,5,govern,govern,govern,0,12,0.5849625007211562,7.019550008653875,0.7474520842548107,13.454137516586592,0.5849625007211562,2.3398500028846247,VB,0,0,0,0,0,0,1,0,0,1,1
fierce,23,5.191721236171399e-05,14.233427552962237,6,JJ,4,fierc,fierc,fierc,0,10,0.8479969065549501,8.4799690655495,1.0835516028202141,19.503928850763856,0.8479969065549501,5.93597834588465,JJ,1,0,1,1,0,1,0,0,0,0,-1
worm,23,5.191721236171399e-05,14.233427552962237,4,NN,2,worm,worm,worm,0,9,1.0,9.0,1.2777777777777777,23.0,0.5,9.0,NN,0,1,0,0,0,1,0,0,1,0,-1
treasure,23,5.191721236171399e-05,14.233427552962237,8,NN,1,treasur,treasur,treas,0,10,0.8479969065549501,8.4799690655495,1.0835516028202141,19.503928850763852,0.8479969065549501,5.087981439329701,NN,0,1,0,0,1,0,1,0,0,1,1
betray,23,5.191721236171399e-05,14.233427552962237,6,VB,6,betray,betray,betray,0,11,0.7104933828050152,7.815427210855167,0.9078526558064082,16.341347804515348,0.7104933828050152,2.1314801484150454,VB,1,0,1,0,0,1,0,1,1,0,-1
buried,23,5.191721236171399e-05,14.233427552962237,6,VBN,4,buri,buri,bury,0,9,1.0,9.0,1.2777777777777777,23.0,0.5,6.0,VB,0,0,0,1,0,1,0,1,0,0,-1
debt,23,5.191721236171399e-05,14.233427552962237,4,NN,1,debt,debt,debt,0,11,0.7104933828050152,7.815427210855167,0.9078526558064084,16.34134780451535,0.7104933828050152,3.552466914025076,NN,0,0,0,0,0,1,0,1,0,0,-1
rob,23,5.191721236171399e-05,14.233427552962237,3,VB,4,rob,rob,rob,0,9,1.0,9.0,1.2777777777777777,23.0,0.5,11.0,VB,1,0,1,1,0,1,0,1,0,0,-1
heavenly,23,5.191721236171399e-05,14.233427552962237,8,RB,4,heavenli,heaven,heav,0,12,0.5849625007211562,7.019550008653875,0.7474520842548107,13.454137516586593,0.5849625007211562,4.094737505048093,RB,0,1,0,0,1,0,1,0,0,1,1
fancy,23,5.191721236171399e-05,14.233427552962237,5,JJ,4,fanci,fanci,fant,0,9,1.0,9.0,1.2777777777777777,23.0,0.5,5.0,JJ,0,1,0,0,1,0,1,0,0,0,1
innocent,23,5.191721236171399e-05,14.233427552962237,8,JJ,3,innoc,innoc,innoc,0,11,0.7104933828050152,7.815427210855167,0.9078526558064084,16.34134780451535,0.7104933828050152,4.262960296830091,JJ,0,0,0,0,0,0,1,0,0,1,1
gross,23,5.191721236171399e-05,14.233427552962237,5,JJ,1,gross,gross,gross,0,11,0.7104933828050152,7.815427210855167,0.9078526558064082,16.341347804515348,0.7104933828050152,4.262960296830091,JJ,0,0,1,0,0,1,0,0,0,0,-1
dread,23,5.191721236171399e-05,14.233427552962237,5,NN,6,dread,dread,dread,0,11,0.7104933828050152,7.815427210855167,0.9078526558064082,16.341347804515348,0.7104933828050152,3.552466914025076,NN,0,1,0,1,0,1,0,0,0,0,-1
argument,23,5.191721236171399e-05,14.233427552962237,8,NN,1,argument,argument,argu,0,13,0.4694852833012202,6.103308682915863,0.5998978619960035,10.798161515928063,0.4694852833012202,1.8779411332048808,NN,1,0,0,0,0,1,0,0,0,0,-1
deserve,23,5.191721236171399e-05,14.233427552962237,7,VB,5,deserv,deserv,deserv,0,13,0.4694852833012202,6.103308682915863,0.5998978619960035,10.798161515928063,0.4694852833012202,2.347426416506101,VB,1,1,0,0,0,0,1,0,0,1,1
goodness,23,5.191721236171399e-05,14.233427552962237,8,NN,2,good,good,good,0,9,1.0,9.0,1.2777777777777777,23.0,0.5,4.0,NN,0,1,0,0,1,0,1,0,1,1,1
torture,23,5.191721236171399e-05,14.233427552962237,7,NN,4,tortur,tortur,tort,0,10,0.8479969065549501,8.4799690655495,1.0835516028202141,19.503928850763852,0.8479969065549501,4.23998453277475,NN,1,1,1,1,0,1,0,1,0,0,-1
tree,23,5.191721236171399e-05,14.233427552962237,4,NN,2,tree,tree,tre,0,10,0.8479969065549501,8.4799690655495,1.0835516028202141,19.503928850763856,0.8479969065549501,3.3919876262198003,NN,1,1,1,0,1,0,1,0,1,1,1
mirth,23,5.191721236171399e-05,14.233427552962237,5,NN,3,mirth,mirth,mir,0,11,0.7104933828050152,7.815427210855167,0.9078526558064082,16.341347804515348,0.7104933828050152,3.552466914025076,NN,0,0,0,0,1,0,1,0,0,0,1
melancholy,23,5.191721236171399e-05,14.233427552962237,10,NN,5,melancholi,melancholi,melancho,0,13,0.4694852833012202,6.103308682915863,0.5998978619960035,10.798161515928063,0.4694852833012202,1.8779411332048808,NN,0,0,0,0,0,1,0,1,0,0,-1
bark,23,5.191721236171399e-05,14.233427552962237,4,NN,2,bark,bark,bark,0,11,0.7104933828050152,7.815427210855167,0.9078526558064084,16.34134780451535,0.7104933828050152,3.552466914025076,NN,1,0,0,0,0,1,0,0,0,0,-1
deadly,22,4.9659942259030777e-05,14.297557890381952,6,RB,3,deadli,dead,dead,0,13,0.4694852833012202,6.103308682915863,0.5738153462570469,10.328676232626844,0.4694852833012202,1.8779411332048808,RB,1,0,1,1,0,1,0,1,0,0,-1
dance,22,4.9659942259030777e-05,14.297557890381952,5,VB,4,danc,danc,dant,0,9,1.0,9.0,1.2222222222222223,22.0,0.5,7.0,VB,0,0,0,0,1,0,1,0,0,1,1
weight,22,4.9659942259030777e-05,14.297557890381952,6,NN,1,weight,weight,weight,0,12,0.5849625007211562,7.019550008653875,0.7149541675480797,12.869175015865435,0.5849625007211562,3.5097750043269373,NN,0,1,1,1,1,1,1,1,1,1,0
reverence,22,4.9659942259030777e-05,14.297557890381952,9,NN,3,rever,rever,rev,0,11,0.7104933828050152,7.815427210855167,0.8683808012061296,15.630854421710334,0.7104933828050152,2.8419735312200607,NN,0,0,0,0,1,0,1,0,0,1,1
cursed,22,4.9659942259030777e-05,14.297557890381952,6,VBD,3,curs,curs,curs,0,9,1.0,9.0,1.2222222222222223,22.0,0.5,5.0,VB,1,0,0,1,0,1,0,1,0,0,-1
violent,22,4.9659942259030777e-05,14.297557890381952,7,JJ,2,violent,violent,viol,0,9,1.0,9.0,1.2222222222222223,22.0,0.5,4.0,JJ,1,0,1,1,0,1,0,0,1,0,-1
delay,22,4.9659942259030777e-05,14.297557890381952,5,NN,7,delay,delay,delay,0,13,0.4694852833012202,6.103308682915863,0.573815346257047,10.328676232626846,0.4694852833012202,1.4084558499036606,NN,1,0,1,1,0,1,0,1,0,0,-1
conquest,22,4.9659942259030777e-05,14.297557890381952,8,NN,3,conquest,conquest,conquest,0,11,0.7104933828050152,7.815427210855167,0.8683808012061296,15.630854421710334,0.7104933828050152,3.552466914025076,NN,1,0,0,1,0,1,0,0,0,0,-1
slander,22,4.9659942259030777e-05,14.297557890381952,7,NN,5,slander,slander,sland,0,10,0.8479969065549501,8.4799690655495,1.0364406635671615,18.655931944208906,0.8479969065549501,4.23998453277475,NN,1,0,1,0,0,1,0,0,0,0,-1
fate,22,4.9659942259030777e-05,14.297557890381952,4,NN,2,fate,fate,fat,0,9,1.0,9.0,1.2222222222222223,22.0,0.5,6.0,NN,0,1,0,0,0,1,0,0,0,0,-1
confusion,22,4.9659942259030777e-05,14.297557890381952,9,NN,2,confus,confus,confus,0,14,0.36257007938470837,5.075981111385917,0.4431412081368658,7.976541746463584,0.36257007938470837,1.087710238154125,NN,1,0,0,1,0,1,0,0,0,0,-1
absence,22,4.9659942259030777e-05,14.297557890381952,7,NN,1,absenc,absenc,abs,0,11,0.7104933828050152,7.815427210855167,0.8683808012061296,15.630854421710334,0.7104933828050152,2.8419735312200607,NN,0,0,0,1,0,1,0,1,0,0,-1
star,22,4.9659942259030777e-05,14.297557890381952,4,NN,2,star,star,star,0,9,1.0,9.0,1.2222222222222223,22.0,0.5,6.0,NN,0,1,0,0,1,0,1,0,0,1,1
dame,22,4.9659942259030777e-05,14.297557890381952,4,NN,2,dame,dame,dam,0,10,0.8479969065549501,8.4799690655495,1.0364406635671612,18.655931944208902,0.8479969065549501,6.783975252439601,NN,1,0,1,0,0,0,1,0,0,1,1
reward,21,4.740267215634755e-05,14.36467208624049,6,NN,3,reward,reward,reward,0,10,0.8479969065549501,8.4799690655495,0.9893297243141086,17.807935037653955,0.8479969065549501,5.93597834588465,NN,0,1,0,0,1,0,1,0,1,1,1
fits,21,4.740267215634755e-05,14.36467208624049,4,NNS,3,fit,fit,fit,0,12,0.5849625007211562,7.019550008653875,0.6824562508413489,12.28421251514428,0.5849625007211562,2.3398500028846247,NN,1,0,0,0,0,1,0,0,0,0,-1
vengeance,21,4.740267215634755e-05,14.36467208624049,9,NN,2,vengeanc,vengeanc,veng,0,10,0.8479969065549501,8.4799690655495,0.9893297243141086,17.807935037653955,0.8479969065549501,3.3919876262198003,NN,1,0,0,0,0,1,0,0,0,0,-1
